"date","ticker","open","close","high","low","vol","newssentiment","newsmentions","twtrmentions","twtrsentiment","wsbsentiment","wsbmentions","retailvol","instvol","retailperc","newssentimentlag1","newsmentionslag1","twtrmentionslag1","twtrsentimentlag1","wsbsentimentlag1","wsbmentionslag1","newssentimentlag2","newsmentionslag2","twtrmentionslag2","twtrsentimentlag2","wsbsentimentlag2","wsbmentionslag2","newssentimentlag4","newsmentionslag4","twtrmentionslag4","twtrsentimentlag4","wsbsentimentlag4","wsbmentionslag4","twtrmentions5MA","wsbmentions5MA","newsmentions5MA","twtrmentions10MA","wsbmentions10MA","newsmentions10MA","retailvollag1","retailvollag2","retailvollag4","target"
2019-01-08,"FB",139.89,142.53,143.14,139.53999,26252863,63,2,569,0.268892794376098,0.352866667,1,11163579,15100214,0.425055855412811,50,0,415,0.202409638554217,-0.222216667,1,50,0,431,0.0580046403712297,-0.06233,1,50,2,606,0.117161716171617,0.18147,1,473.6,1,0.8,487.8,1,0.6,11163579,10410939.5,8964350.25,9658300
2019-01-09,"FB",142.95,144.23,144.7,141.27,22203279,50,0,489,0.0940695296523517,-0.3818,1,9658300,12547579,0.434943376931848,63,2,569,0.268892794376098,0.352866667,1,50,0,415,0.202409638554217,-0.222216667,1,50,0,521,0.0307101727447217,-0.137671429,1,461,1,0.8,473.5,1,0.4,9658300,8218650.5,8249881.75,6779001
2019-01-10,"FB",143.08,144.2,144.56,140.84,16111304,50.5,2,464,0.174568965517241,0.3246,1,6779001,9346003,0.420403058504668,50,0,489,0.0940695296523517,-0.3818,1,63,2,569,0.268892794376098,0.352866667,1,50,0,431,0.0580046403712297,-0.06233,1,457.8,1,0.8,469,1,0.5,6779001,6088824,7751706.5,5398647
2019-01-11,"FB",143.14999,143.8,145.36,142.57001,12907031,50,0,368,0.176630434782609,-0.07994,1,5398647,7509384,0.418239389105898,50.5,2,464,0.174568965517241,0.3246,1,50,0,489,0.0940695296523517,-0.3818,1,50,0,415,0.202409638554217,-0.222216667,1,467.2,1,0.4,487.2,1,0.6,5398647,7284762.5,7707233,9170878
2019-01-14,"FB",142,145.39,146.57001,141.27,20515678,50,0,399,0.238095238095238,-0.15588,1,9170878,11349400,0.446917824407642,50,0,368,0.176630434782609,-0.07994,1,50.5,2,464,0.174568965517241,0.3246,1,63,2,569,0.268892794376098,0.352866667,1,462,1,0.4,495.3,1,0.6,9170878,9325642,7777200.25,9480406
2019-01-15,"FB",146.00999,148.95,150.67999,145.99001,24065513,50,0,616,0.38961038961039,-0.0251,1,9480406,14588416,0.393887411689695,50,0,399,0.238095238095238,-0.15588,1,50,0,368,0.176630434782609,-0.07994,1,50,0,489,0.0940695296523517,-0.3818,1,464.4,1,0.2,493.8,1,0.5,9480406,8269638,7878842.75,7058870
2019-01-16,"FB",149,147.53999,149.6499,146.9975,18060414,50,0,463,0.146868250539957,-0.054845455,1,7058870,10966844,0.391600022057379,50,0,616,0.38961038961039,-0.0251,1,50,0,399,0.238095238095238,-0.15588,1,50.5,2,464,0.174568965517241,0.3246,1,513.4,1,0.4,504.4,1,0.8,7058870,6432043.5,8572717.5,5805217
2019-01-17,"FB",146.95,148.3,149,146.5,15787914,37,1,476,0.00840336134453781,0.275925,1,5805217,9982697,0.367700064745729,50,0,463,0.146868250539957,-0.054845455,1,50,0,616,0.38961038961039,-0.0251,1,50,0,368,0.176630434782609,-0.07994,1,532.8,1,0.4,521.6,1,0.6,5805217,8875797,8428449.75,11946377
2019-01-18,"FB",149.75,150.03999,152.42999,148.55,32309412,40,1,613,0.176182707993475,0.216035,1,11946377,19083235,0.384999238791642,37,1,476,0.00840336134453781,0.275925,1,50,0,463,0.146868250539957,-0.054845455,1,50,0,399,0.238095238095238,-0.15588,1,520.4,1,0.6,543.5,1,0.8,11946377,10424856,8499918.25,8903335
2019-01-22,"FB",149.2,147.57001,151.53,146.37,22393694,50,0,496,0.17741935483871,0.0542,1,8903335,13475359,0.397848730582759,40,1,613,0.176182707993475,0.216035,1,37,1,476,0.00840336134453781,0.275925,1,50,0,616,0.38961038961039,-0.0251,1,546.8,1,1.2,559.4,1,1.1,8903335,8124039.5,9102189.75,7344744
